"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","Cannot login with blank fields","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","730","Cannot login with valid username and invalid password","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","2674","Successful login","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","806","test","Mobile Chrome","2026-05-26","passed","2026-05-26","","test-1.spec.ts","",""
"","787","Successful login","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","539","Successful login_Shorter","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","1293","test","firefox","2026-05-26","passed","2026-05-26","","test-1.spec.ts","",""
"","2184","Verify add to cart functionality","firefox","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","1308","Go back to products","webkit","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","566","Cannot login with locked out user","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","566","Verify home title","Mobile Chrome","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","737","Verify home title","chromium","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","2644","test","webkit","2026-05-26","passed","2026-05-26","","test-1.spec.ts","",""
"","1358","Remove item from cart","webkit","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","724","Cannot login with locked out user","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","582","Cannot login with valid username and invalid password","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","611","Go back to products","Mobile Chrome","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","650","Remove item from cart","Mobile Chrome","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","1006","Go back to products","chromium","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","797","Verify add to cart functionality","chromium","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","741","Successful login_Shorter","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","1114","Verify add to cart functionality","webkit","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","897","test","chromium","2026-05-26","passed","2026-05-26","","test-1.spec.ts","",""
"","1472","Cannot login with invalid username and valid password","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","845","Successful login_Shorter","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","1109","Cannot login with blank fields","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","488","Cannot login with locked out user","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","516","Successful login","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","2203","Cannot login with invalid username and valid password","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","2913","Successful login_Shorter","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","903","Successful login","webkit","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","922","Cannot login with locked out user","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","2681","Go back to products","firefox","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","466","Cannot login with valid username and invalid password","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","1520","Verify home title","firefox","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","413","Cannot login with invalid username and valid password","Mobile Chrome","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","669","Cannot login with blank fields","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","880","Verify home title","webkit","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","894","Remove item from cart","chromium","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","528","Cannot login with blank fields","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","1954","Remove item from cart","firefox","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","640","Cannot login with invalid username and valid password","chromium","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
"","575","Verify add to cart functionality","Mobile Chrome","2026-05-26","passed","2026-05-26","Home Tests","home.spec.ts","",""
"","2532","Cannot login with valid username and invalid password","firefox","2026-05-26","passed","2026-05-26","Login Tests","login.spec.ts","",""
